"State","Institution","Date opened"
"AK","UNIVERSITY OF ALASKA SYSTEM OF HIGHER EDUCATION","5/5/2014"
"AL","MARION MILITARY INSTITUTE","4/16/2015"
"AL","UNIVERSITY OF ALABAMA AT BIRMINGHAM","5/23/2016"
"AR","UNIVERSITY OF ARKANSAS MAIN CAMPUS","4/21/2016"
"AR","UNIVERSITY OF ARKANSAS MAIN CAMPUS","4/21/2016"
"AZ","ARIZONA STATE UNIVERSITY","1/26/2012"
"CA","BUTTE-GLENN COMMUNITY COLLEGE DISTRICT","2/27/2013"
"CA","CALIFORNIA INSTITUTE OF THE ARTS","9/30/2014"
"CA","CALIFORNIA POLYTECHNIC STATE UNIVERSITY-SAN LUIS OBISPO","12/9/2015"
"CA","LA SIERRA UNIVERSITY","8/5/2016"
"CA","LOYOLA MARYMOUNT UNIVERSITY","6/8/2016"
"CA","POMONA COLLEGE","10/2/2015"
"CA","SAINT MARY'S COLLEGE OF CALIFORNIA","5/19/2016"
"CA","SAN FRANCISCO STATE UNIVERSITY","3/10/2015"
"CA","SAN JOSE-EVERGREEN COMMUNITY COLLEGE DISTRICT","11/12/2014"
"CA","SANTA CLARA UNIVERSITY","11/24/2015"
"CA","STANFORD UNIVERSITY","2/26/2015"
"CA","STANFORD UNIVERSITY","4/18/2016"
"CA","STANFORD UNIVERSITY","5/28/2015"
"CA","STANFORD UNIVERSITY","7/23/2015"
"CA","STANFORD UNIVERSITY","7/23/2015"
"CA","UNIVERSITY OF CALIFORNIA-BERKELEY","3/25/2014"
"CA","UNIVERSITY OF CALIFORNIA-BERKELEY","7/15/2015"
"CA","UNIVERSITY OF CALIFORNIA-DAVIS","3/24/2015"
"CA","UNIVERSITY OF CALIFORNIA-LOS ANGELES","8/8/2014"
"CA","UNIVERSITY OF CALIFORNIA-SAN FRANCISCO","1/12/2016"
"CA","UNIVERSITY OF CALIFORNIA-SAN FRANCISCO","5/6/2015"
"CA","UNIVERSITY OF CALIFORNIA-SANTA CRUZ","3/13/2015"
"CA","UNIVERSITY OF CALIFORNIA-SANTA CRUZ","6/22/2016"
"CA","UNIVERSITY OF SAN DIEGO","8/6/2015"
"CA","UNIVERSITY OF SOUTHERN CALIFORNIA","3/8/2016"
"CA","UNIVERSITY OF SOUTHERN CALIFORNIA","6/26/2013"
"CO","COLORADO STATE UNIVERSITY","3/2/2016"
"CO","COLORADO STATE UNIVERSITY","6/24/2014"
"CO","REGIS UNIVERSITY","4/30/2013"
"CO","UNIVERSITY OF COLORADO AT BOULDER","6/18/2013"
"CO","UNIVERSITY OF COLORADO AT DENVER","4/29/2014"
"CO","UNIVERSITY OF DENVER","12/12/2013"
"CO","UNIVERSITY OF DENVER","3/10/2015"
"CT","UNIVERSITY OF CONNECTICUT","2/17/2015"
"DC","AMERICAN UNIVERSITY","3/11/2015"
"DC","AMERICAN UNIVERSITY","6/21/2016"
"DC","CATHOLIC UNIVERSITY OF AMERICA","1/8/2014"
"DE","DELAWARE STATE UNIVERSITY","2/12/2016"
"DE","UNIVERSITY OF DELAWARE","5/8/2014"
"DE","WESLEY COLLEGE","7/28/2015"
"FL","FLORIDA STATE UNIVERSITY","4/3/2014"
"FL","FULL SAIL UNIVERSITY","7/20/2015"
"FL","UNIVERSITY OF MIAMI","10/9/2015"
"FL","UNIVERSITY OF MIAMI","3/11/2016"
"FL","UNIVERSITY OF SOUTH FLORIDA","9/3/2014"
"GA","EMORY UNIVERSITY","12/13/2013"
"GA","MOREHOUSE COLLEGE","11/19/2015"
"GA","OGLETHORPE UNIVERSITY","6/23/2015"
"GA","SPELMAN COLLEGE","11/19/2015"
"HI","UNIVERSITY OF HAWAII AT MANOA","5/28/2013"
"IA","DRAKE UNIVERSITY","10/3/2014"
"IA","GRINNELL COLLEGE","7/22/2015"
"IA","IOWA STATE UNIVERSITY","10/15/2014"
"IA","UNIVERSITY OF IOWA","4/20/2015"
"ID","COLLEGE OF IDAHO","3/8/2016"
"ID","IDAHO STATE UNVERSITY","6/5/2015"
"ID","LEWIS-CLARK STATE COLLEGE","3/10/2016"
"ID","UNIVERSITY OF IDAHO","4/18/2013"
"ID","UNIVERSITY OF IDAHO","5/27/2015"
"IL","COLUMBIA COLLEGE CHICAGO","12/15/2015"
"IL","JUDSON UNIVERSITY","10/20/2015"
"IL","KNOX COLLEGE","1/2/2014"
"IL","KNOX COLLEGE","4/6/2016"
"IL","KNOX COLLEGE","6/26/2014"
"IL","MONMOUTH COLLEGE","9/11/2015"
"IL","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE","12/14/2015"
"IL","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE","9/4/2015"
"IL","UNIVERSITY OF CHICAGO","2/3/2016"
"IL","UNIVERSITY OF CHICAGO","2/3/2016"
"IL","UNIVERSITY OF CHICAGO","6/28/2013"
"IL","UNIVERSITY OF ILLINOIS AT CHICAGO","4/22/2016"
"IN","GRACE COLLEGE AND THEOLOGICAL SEMINARY","4/18/2016"
"IN","HANOVER COLLEGE","8/5/2016"
"IN","INDIANA UNIVERSITY-BLOOMINGTON","3/12/2014"
"IN","INDIANA UNIVERSITY-BLOOMINGTON","5/17/2016"
"IN","INDIANA UNIVERSITY-BLOOMINGTON","6/30/2015"
"IN","INDIANA UNIVERSITY-PURDUE UNIVERSITY-FORT WAYNE","6/10/2016"
"IN","PURDUE UNIVERSITY-MAIN CAMPUS","8/5/2016"
"IN","UNIVERSITY OF NOTRE DAME","2/19/2016"
"IN","VALPARAISO UNIVERSITY","10/3/2014"
"IN","VINCENNES UNIVERSITY","2/19/2016"
"IN","VINCENNES UNIVERSITY","3/20/2014"
"KS","KANSAS STATE UNIVERSITY","11/24/2015"
"KS","KANSAS STATE UNIVERSITY","4/20/2015"
"KS","KANSAS STATE UNIVERSITY","8/4/2014"
"KS","KANSAS STATE UNIVERSITY","9/24/2015"
"KS","UNIVERSITY OF KANSAS","7/16/2014"
"KS","UNIVERSITY OF KANSAS","7/20/2015"
"KS","WASHBURN UNIVERSITY","7/1/2014"
"KY","UNIVERSITY OF KENTUCKY","4/14/2015"
"LA","LOUISIANA STATE UNIVERSITY-SYSTEM OFFICE","8/4/2015"
"LA","LOYOLA UNIVERSITY NEW ORLEANS","2/5/2016"
"MA","AMHERST COLLEGE","1/6/2014"
"MA","BABSON COLLEGE","4/28/2016"
"MA","BERKLEE COLLEGE OF MUSIC","6/19/2014"
